mood,mood_description,recipe_title,ingredients,instructions,why_it_matches_mood
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"oats, quinoa, chicken breast, milk, butter, carrot",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"berries, onion, chicken breast, honey, ginger, tomato, olive oil",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"honey, garlic, tomato, rice","Boil the base ingredient, add seasonings, and cook until done.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Lemon Herb Pasta,"garlic, rice, berries, carrot","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Lemon Herb Pasta,"olive oil, garlic, banana, quinoa, rice, onion",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"olive oil, milk, butter, quinoa, carrot",Blend all components until smooth and serve fresh.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"chicken breast, milk, spinach, spices","Boil the base ingredient, add seasonings, and cook until done.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"butter, onion, ginger, quinoa, honey, milk","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Citrus Burst Salad,"carrot, tomato, banana, berries, garlic","Chop ingredients, heat a pan, and cook until flavors blend well.",Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Peach Sunrise Smoothie,"spinach, banana, quinoa, olive oil, lemon, ginger, butter",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"quinoa, herbs, milk, banana",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Bright Berry Yogurt Bowl,"garlic, pasta, lemon, butter, spices",Combine ingredients in a bowl and stir until evenly coated.,Bright flavors enhance positive emotions.
happy,"Feeling joyful, upbeat, and wanting something fun or bright.",Lemon Herb Pasta,"broth, herbs, berries, olive oil, garlic",Mix everything in a pot and simmer until tender and aromatic.,Bright flavors enhance positive emotions.
